Row Labels,Sum of Associated,Count of OnTitle,Count of Url,Sum of Image,Sum of OnPage,Sum of Deep
/.net/detect_text_encoding.md,1,10,10,0,0,3
/.net/zipfile.md,1,1,1,0,0,0
/.net_core_MVC/bind_post_to_action.md,0,2,2,0,0,0
/.net_core_MVC/custom_port.md,0,1,1,0,0,0
/.net_core_MVC/form_value_count_limit_1024_exceeded.md,0,2,2,0,0,0
/.net_core_MVC/ip_address.md,2,2,2,0,0,0
/.net_core_MVC/no_authentication_handler.md,0,1,1,0,0,0
/.net_core_MVC/send_email_with_mailkit.md,0,2,2,0,0,0
/.net_core_MVC/specified_framework_not_found.md,1,1,1,0,0,0
/active_directory/get-adgroup.md,1,6,6,0,0,2
/airtable/get_airtable_data.md,0,1,1,0,0,0
/angular/getting_started_deborah_kurata.md,1,4,4,1,0,0
/appharbor/keep_alive.md,0,1,1,0,0,0
/asp.net_mvc/check_your_razor_views_compile_with_MvcBuildViews_true.md,0,2,2,0,0,0
/asp.net_mvc/clear_caches.md,1,1,1,0,0,0
/asp.net_mvc/custom_errors.md,3,4,4,0,0,0
/asp.net_mvc/from_memory.md,3,3,3,0,0,2
/asp.net_mvc/get_user_display_name.md,0,1,1,0,0,0
/asp.net_mvc/helpful_error_page.md,1,1,1,0,0,0
/asp.net_mvc/return_404.md,2,2,2,0,0,0
/asp.net_mvc/select_dropdowns.md,2,3,3,0,0,0
/asp.net_mvc/select_multi_dropdowns.md,1,1,1,0,0,0
/asp.net_mvc/serve_some_static_files_from_mvc_but_not_all.md,0,1,1,0,0,0
/banking/convert_ofx_to_csv.md,0,3,3,0,0,0
/chocolatey/commands.md,1,1,1,0,0,0
/chocolatey/install_chocolatey.md,2,2,2,0,0,0
/chocolatey/specify_checksum_for_chocolatey.md,3,3,3,0,0,0
/chocolatey/update_a_chocolatey_package.md,1,2,2,0,0,0
/concepts/art_of_the_data_email.md,1,1,1,1,0,0
/concepts/coik.md,1,3,3,0,0,0
/concepts/echo_chamber.md,1,6,6,1,0,0
/concepts/follow_up_and_recurring_emails.md,0,1,1,0,0,0
/concepts/getting_unblocked.md,1,2,2,0,0,0
/concepts/greatest_books_in_psychology.md,0,1,1,0,0,0
/concepts/idea_transmission.md,1,4,4,1,0,0
/concepts/list_of_potentially_useful_concepts.md,2,8,8,0,0,0
